"log_id","text","items__positive_prob","items__confidence","items__negative_prob","items__sentiment"
"7358017417485962294","评论","0.465356","0.307124","0.534644","1"
"4967986063139691750","这门课讲的确实不错，我都点怀疑是不是微信小程序团队的开发人员，或者就是赵小龙本人！！！哈哈，点个赞，想学小程序，这门课无疑是最好的选择","0.887944","0.750986","0.112056","2"
"5131672469339143633","老师讲得很细腻，要听完一遍了，感觉老师是在用心教学，他不单单只是为了完成这个课程，更是在给我们讲人生，因为程序或许只是我们生活中的一部分，但是学编程就像是在学生活，bug在鼓励我们不要放弃他，就好像是我们生活的的一些不如意再告诉我们挺过去又是美好的一天。感谢老师对我们的鼓励和教导，给老师点n个赞","0.996579","0.992397","0.00342118","2"
"5546162725742882606","在慕课网看了这么多课程，最喜欢的老师，没有之一，授之以渔，不是授之以鱼。专门买了老师的书，结合起来看，很详细，避免了很多弯路","0.965211","0.922691","0.0347889","2"
"4900411236171595036","课程调理清晰，以实战电影详情及列表页等，让我这个菜鸟也能照着葫芦画个瓢耶！好老师，好课程。老师继续讲课，我还要听。","0.988655","0.97479","0.0113446","2"
"2600240065988993268","一直以来对css的组织及复用感到很头疼，一旦有需求变动总会手动修改不少地方还容易出bug，写vue有一段时间了，总是对组件的抽象和项目的组织不太清晰，总感觉自己做的东西总是需要再优化，听了老师的项目组织思路，对项目的把控更加有心得了，之前也学过老师的es6课程，感觉同样帮帮哒，想能独当一面自己科学完整构建项目的同学不能错过老师的这门课程","0.909525","0.798945","0.0904746","2"
"6784250449486616161","听老师的课程，受益匪浅，满满的干货，从跳槽面试的课程中学习到了很多平时不注意的点，很感谢老师的梳理，打算年后找工作，这门课老师讲的太详细了，听了很多遍，每次收获都不同，从项目构建到上线，模块化开发，这是以前都不怎么关注的，好期待后面的课程。老师热心的指导，群里小伙伴很积极，能学到很多知识，支持支持，赞赞！","0.999359","0.998575","0.00064123","2"
"692209952026579332","做前端也有段时间了, css这块一直觉得没什么可提升的，但是看了老师的课程，对css这块有了新的了解，更深的认识，模块化的css可以让代码更精简，更灵活，这门课真的挺值。尤其是第三章和第四章，这两章节融合了老师多年的工作经验，老师把自己对整个项目架构的分析，模块化要注意到的点都很详细都告诉给大家，这些平时可不会有人来跟我们说这些，当然，后面章节更精彩，小伙伴们别犹豫啦，赶快来学习吧！","0.982975","0.962166","0.0170253","2"
"3384366390382915897","课程很棒，听完后受益匪浅，对组件化又有了新的认识，正在用学到的知识修改以前的项目，写起来效率确实高了很多。","0.993738","0.986085","0.00626157","2"
"7176583373243453706","之前听了老师的前段跳槽面试技巧那门课，觉得受益颇多，满满的干活","0.695504","0.323342","0.304496","2"
